title,price,address,latitude,longitude,guests,type,url
"1-к. квартира, 38 м², 2 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 175А",51.51954467122809,104.14944410593908,3,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_38_m_2_krovati_3699745131?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 48 м², 3 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 11",51.52239564262939,104.15254154452957,6,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_48_m_3_krovati_7927299964?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"2-к. квартира, 49 м², 2 кровати",3800,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 179",51.5180528809612,104.15049936942188,4,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_49_m_2_krovati_4458697870?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 31 м², 2 кровати",3100,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 9",51.52269144745857,104.15548295491067,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_31_m_2_krovati_3184372817?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"3-к. квартира, 69 м², 3/3 эт.",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 182",51.51765442,104.1498642,8,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_69_m_33_et._7856907574?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"3-к. квартира, 70 м², 6 кроватей",4800,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 193",51.51734543,104.1535492,10,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_70_m_6_krovatey_7835477349?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 31,3 м², 1 кровать",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 147",51.521226211701546,104.155322087456,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_313_m_1_krovat_4514845261?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"Квартира-студия, 34 м², 2 кровати",4500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 203",51.51963806,104.1566925,3,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_34_m_2_krovati_7542083187?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"3-к. квартира, 55 м², 3 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Байкальская ул., 10",51.523835,104.138556,6,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_55_m_3_krovati_2623192785?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"1-к. квартира, 32 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Южный, 4-й квартал, 22",51.512245,104.143083,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_32_m_2_krovati_2068537419?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
"Квартира-студия, 35 м², 3 кровати",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 33",51.517205,104.147162,5,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_35_m_3_krovati_2685773779?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJsdXVoZlQ1SXF4NWdibDYwIjt9LtJgGT8AAAA
