title,price,address,latitude,longitude,guests,type,url
"2-к. квартира, 42,6 м², 4 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, Железнодорожная ул., 20",51.52097321,104.1304855,3,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_426_m_4_krovati_7871440391?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 50,3 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 29",51.520663,104.148186,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_503_m_2_krovati_2278305242?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 46 м², 3 кровати",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 159",51.52073669,104.1551666,1,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_46_m_3_krovati_7874089164?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 38 м², 2 кровати",3500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 175А",51.51954467122809,104.14944410593908,1,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_38_m_2_krovati_3699745131?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"3-к. квартира, 66 м², 5 кроватей",4000,,51.52260208,104.1296539,5,apartment,https://www.avito.ru/baykalsk/kvartiry/3-k._kvartira_66_m_5_krovatey_7881659865?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"2-к. квартира, 54 м², 3 кровати",3000,,51.52255095002772,104.13058406738878,6,apartment,https://www.avito.ru/baykalsk/kvartiry/2-k._kvartira_54_m_3_krovati_7800902814?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 32 м², 2 кровати",4000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Южный, 2-й квартал, 53",51.50918520781317,104.14067257518613,1,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_32_m_2_krovati_8019709706?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 33 м², 2 кровати",1900,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 182",51.517648,104.149866,2,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_33_m_2_krovati_1671954488?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"1-к. квартира, 32,8 м², 2 кровати",3000,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 167",51.522456,104.145626,4,apartment,https://www.avito.ru/baykalsk/kvartiry/1-k._kvartira_328_m_2_krovati_7887654378?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
"Квартира-студия, 29 м², 2 кровати",2500,"Иркутская обл., Слюдянский р-н, Байкальское муниципальное образование, Байкальск, мкр-н Гагарина, 33",51.51726546653137,104.14715322849074,1,apartment,https://www.avito.ru/baykalsk/kvartiry/kvartira-studiya_29_m_2_krovati_8022224056?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJxNDdEMWM5N0g5VGJqMFFiIjt9SmTh_j8AAAA
